,Senator,Age,Gender,Emotion (Majority),Race (Majority),Valence_m,Normalized_Valence_m,Weighted_Valence_m
30,Elizabeth Warren ,"[44, 28, 51, 29, 35, 39]","[{'Woman': 25.50274431705475, 'Man': 74.49725270271301}, {'Woman': 46.18532061576843, 'Man': 53.814685344696045}, {'Woman': 67.79579520225525, 'Man': 32.20419883728027}, {'Woman': 97.25614190101624, 'Man': 2.743850275874138}, {'Woman': 28.695008158683777, 'Man': 71.30498886108398}, {'Woman': 99.55770969390869, 'Man': 0.4422898404300213}]",happy,white,-11.648794762459064,34.614511840912215,2.3568456886601723
31,Kelly Loeffler ,"[39, 34, 33, 39, 33, 34, 35, 34, 34]","[{'Woman': 100.0, 'Man': 1.2776074420628447e-06}, {'Woman': 2.026701532304287, 'Man': 97.97329902648926}, {'Woman': 99.99967813491821, 'Man': 0.00032658770123816794}, {'Woman': 100.0, 'Man': 2.8913994754020678e-06}, {'Woman': 99.99998807907104, 'Man': 9.607575179870764e-06}, {'Woman': 99.98223185539246, 'Man': 0.01776853168848902}, {'Woman': 99.95554089546204, 'Man': 0.044462698861025274}, {'Woman': 61.54729127883911, 'Man': 38.45270574092865}, {'Woman': 99.99963045120239, 'Man': 0.00037233924103929894}]",happy,white,21.308727229853478,52.95034221912212,19.17748179028959
32,Cory A. Booker ,"[34, 30, 31, 29, 29, 33, 30, 30]","[{'Woman': 0.036739843199029565, 'Man': 99.96325969696045}, {'Woman': 0.04068695707246661, 'Man': 99.9593198299408}, {'Woman': 0.007174516213126481, 'Man': 99.99282360076904}, {'Woman': 0.049775949446484447, 'Man': 99.9502182006836}, {'Woman': 0.08699615718796849, 'Man': 99.91300702095032}, {'Woman': 0.0313164695398882, 'Man': 99.96868371963501}, {'Woman': 0.019432080443948507, 'Man': 99.9805748462677}, {'Woman': 0.006027351264492609, 'Man': 99.99396800994873}]",sad,black,-55.75086921998767,18.46757135657647,-18.456897173090756
33,Christopher Murphy ,"[28, 39, 34, 26, 27, 37, 30, 35]","[{'Woman': 0.0772657454945147, 'Man': 99.92272853851318}, {'Woman': 0.4392373841255903, 'Man': 99.56076741218567}, {'Woman': 1.7596252262592316, 'Man': 98.24037551879883}, {'Woman': 0.03748563176486641, 'Man': 99.96250867843628}, {'Woman': 0.038837516331113875, 'Man': 99.96116757392883}, {'Woman': 0.021079920406918973, 'Man': 99.97891783714294}, {'Woman': 0.11519552208483219, 'Man': 99.88480806350708}, {'Woman': 1.5210333280265331, 'Man': 98.47896695137024}]",happy,white,59.6980799192124,63.6424357295492,36.61568750917124
34,Eric Schmitt ,"[45, 42, 40, 36, 44, 40, 45, 37]","[{'Woman': 0.3776215249672532, 'Man': 99.62238073348999}, {'Woman': 0.0032441905204905197, 'Man': 99.99675750732422}, {'Woman': 0.04601652908604592, 'Man': 99.9539852142334}, {'Woman': 0.026507177972234786, 'Man': 99.97349381446838}, {'Woman': 0.2500710543245077, 'Man': 99.74992871284485}, {'Woman': 0.399806909263134, 'Man': 99.60018992424011}, {'Woman': 0.10418131714686751, 'Man': 99.89582300186157}, {'Woman': 0.11821761727333069, 'Man': 99.88177418708801}]",happy,white,47.27501794829291,70.94684649905248,33.14719835498778
35,Cindy Hyde-Smith ,"[39, 49, 35, 37, 51, 42, 34]","[{'Woman': 14.551660418510437, 'Man': 85.4483425617218}, {'Woman': 99.66771602630615, 'Man': 0.3322792472317815}, {'Woman': 93.72791647911072, 'Man': 6.272085011005402}, {'Woman': 99.99840259552002, 'Man': 0.0015942274330882356}, {'Woman': 99.99860525131226, 'Man': 0.0013943357771495357}, {'Woman': 99.99642372131348, 'Man': 0.0035724082408705726}, {'Woman': 98.04795980453491, 'Man': 1.9520355388522148}]",happy,white,31.126442250667196,57.84158768604006,24.072864428253418
36,Tina Smith ,"[37, 45, 42, 43, 53]","[{'Woman': 99.99665021896362, 'Man': 0.0033439813705626875}, {'Woman': 99.98747110366821, 'Man': 0.012532580876722932}, {'Woman': 55.00282049179077, 'Man': 44.99718248844147}, {'Woman': 98.22028875350952, 'Man': 1.7797136679291725}, {'Woman': 99.08814430236816, 'Man': 0.9118590503931046}]",happy,white,98.84116746944953,99.33683426149025,59.40483518713249
37,Joni Ernst ,"[25, 29, 27, 26, 33, 25, 33, 39]","[{'Woman': 50.64964294433594, 'Man': 49.3503600358963}, {'Woman': 93.56813430786133, 'Man': 6.431864947080612}, {'Woman': 90.45954942703247, 'Man': 9.54044833779335}, {'Woman': 97.36136794090271, 'Man': 2.638627775013447}, {'Woman': 99.99443292617798, 'Man': 0.0055662705563008785}, {'Woman': 99.99755620956421, 'Man': 0.002437880903016776}, {'Woman': 99.97413754463196, 'Man': 0.025861250469461083}, {'Woman': 90.06630182266235, 'Man': 9.93369147181511}]",happy,white,44.17833298669376,64.41359554864331,30.594931622713133
38,Richard Blumenthal ,"[39, 39, 26, 28, 25, 28, 48]","[{'Woman': 0.0011196324521733914, 'Man': 99.99887943267822}, {'Woman': 0.027985588531009853, 'Man': 99.97201561927795}, {'Woman': 0.0025425588319194503, 'Man': 99.99746084213257}, {'Woman': 0.0025133786039077677, 'Man': 99.99748468399048}, {'Woman': 11.709370464086533, 'Man': 88.29063773155212}, {'Woman': 0.002504086478438694, 'Man': 99.99749660491943}, {'Woman': 0.004816134969587438, 'Man': 99.99518394470215}]",sad,white,-23.52471191692217,28.595772135952252,-3.585436432400894
39,Peter Welch ,"[44, 50, 46, 48, 31, 34]","[{'Woman': 0.0009812542884901632, 'Man': 99.99902248382568}, {'Woman': 0.011651388194877654, 'Man': 99.98834133148193}, {'Woman': 0.10634632781147957, 'Man': 99.89365935325623}, {'Woman': 0.022244245337788016, 'Man': 99.9777615070343}, {'Woman': 4.389645159244537, 'Man': 95.61035633087158}, {'Woman': 0.13996729394420981, 'Man': 99.86003041267395}]",neutral,white,-31.028353122952037,22.351411139805535,-7.833221113618181
