index,Age,Gender,Emotion,Race,Valence,Normalized_Valence,Weighted_Valence
Kevin Cramer senator,"[57, 36, 52, 40, 44]","[{'Woman': 0.002319672239536885, 'Man': 99.99767541885376}, {'Woman': 0.02295544254593551, 'Man': 99.977046251297}, {'Woman': 0.07330058142542839, 'Man': 99.9267041683197}, {'Woman': 0.033522036392241716, 'Man': 99.96647834777832}, {'Woman': 0.05199229344725609, 'Man': 99.94800686836243}]","['fear', 'happy', 'happy', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white']","[-9.377175617276016, 99.84665105735832, 99.99890310872993, 99.99966579634916, 99.99943299286933]","[44.76342338205879, 99.8466737869588, 99.99890327287834, 99.9996839168264, 99.99948685598706]","[5.3111893769747525, 59.90799522625346, 59.999341898399244, 59.99980313851197, 59.99967067715952]"
Mitt Romney senator,"[30, 30, 33, 29, 53, 25]","[{'Woman': 0.009617226896807551, 'Man': 99.99037981033325}, {'Woman': 0.12717593926936388, 'Man': 99.87282156944275}, {'Woman': 0.1072634244337678, 'Man': 99.89272952079773}, {'Woman': 0.06735736969858408, 'Man': 99.93264675140381}, {'Woman': 0.01278101117350161, 'Man': 99.98722076416016}, {'Woman': 0.00919213707675226, 'Man': 99.99080896377563}]","['angry', 'happy', 'happy', 'happy', 'neutral', 'happy']","['middle eastern', 'white', 'white', 'white', 'middle eastern', 'white']","[-95.80768260406823, 99.99678782009074, 78.64755073882942, 94.06789598288015, 1.9808743265457451, 99.99961853026024]","[0.5599227477248911, 99.99684632677787, 89.1568193934266, 95.27896745619364, 5.828811735031195, 99.99961853027352]","[-38.01640646106859, 59.9980845115872, 49.31161501998395, 56.68539849342778, 1.9658856885507703, 59.999771118158826]"
Markwayne Mullin senator,"[39, 47, 48, 43, 33]","[{'Woman': 0.2883950946852565, 'Man': 99.71160888671875}, {'Woman': 0.02716770686674863, 'Man': 99.9728262424469}, {'Woman': 0.0014994616321928333, 'Man': 99.99849796295166}, {'Woman': 0.32180577982217073, 'Man': 99.67819452285767}, {'Woman': 0.0010924257367150858, 'Man': 99.99890327453613}]","['fear', 'sad', 'happy', 'neutral', 'fear']","['white', 'white', 'white', 'white', 'white']","[-99.99614087596416, -99.99389602758171, 4.154014922096394, 0.47480581880991557, -84.634143486619]","[-0.9989383888559109, -0.9999295879696308, 39.91980856319424, 0.47483092895360834, 5.0922960713505745]","[-39.99824967969805, -39.9975565176375, 9.71782181004528, 0.2848885640422509, -32.65393264591694]"
Lisa Murkowski senator,"[42, 50, 28, 35, 38]","[{'Woman': 11.617079377174377, 'Man': 88.38292360305786}, {'Woman': 34.47218835353851, 'Man': 65.52780866622925}, {'Woman': 11.335285753011703, 'Man': 88.66471648216248}, {'Woman': 0.3189640585333109, 'Man': 99.68103766441345}, {'Woman': 1.0542666539549828, 'Man': 98.94573092460632}]","['happy', 'fear', 'sad', 'sad', 'happy']","['white', 'white', 'white', 'white', 'latino hispanic']","[99.99359349654169, -87.22337389481254, -62.03405054317366, -87.08270364758926, 99.995177628935]","[99.99363404387991, 4.734125491464511, 6.895818093955617, 2.430915892909063, 99.99517763509996]","[59.99616428930647, -33.75675173359923, -23.295204338605352, -34.16606268542258, 59.99710657860644]"
Ron Johnson senator,"[35, 44, 28]","[{'Woman': 0.11428772704675794, 'Man': 99.88571405410767}, {'Woman': 0.0013234732250566594, 'Man': 99.99867677688599}, {'Woman': 0.029602539143525064, 'Man': 99.97039437294006}]","['angry', 'neutral', 'happy']","['white', 'white', 'white']","[-80.46286122407764, -53.63195690554124, 99.891516986807]","[4.786105469800532, 1.2764417367915355, 99.90597789830656]","[-31.055703260935843, -21.08656835699489, 59.93783158834674]"
Shelley Moore Capito senator,"[26, 47, 25, 43, 32, 31, 32]","[{'Woman': 93.92184615135193, 'Man': 6.078159809112549}, {'Woman': 88.0561351776123, 'Man': 11.943860352039337}, {'Woman': 1.1637615971267223, 'Man': 98.83623719215393}, {'Woman': 2.806227467954159, 'Man': 97.19377160072327}, {'Woman': 27.42244601249695, 'Man': 72.57755398750305}, {'Woman': 1.9535118713974953, 'Man': 98.04648160934448}, {'Woman': 15.172743797302246, 'Man': 84.82725620269775}]","['happy', 'angry', 'happy', 'fear', 'happy', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[99.92764090995298, -98.43579780125624, 99.85115319309004, -99.99678329331199, 66.38506136407409, 99.88294136444881, 98.53304871031791]","[99.92764119778332, -0.9210413592603497, 99.8839534136339, -0.9999571862221173, 82.05232924081328, 99.89427597238976, 98.53315389722802]","[59.95658460411933, -39.361527884390945, 59.917318223034606, -39.998711166474095, 42.996141440007925, 59.93205463845534, 59.11985047607157]"
Gary C. Peters senator,"[48, 58, 39, 45, 50, 45]","[{'Woman': 0.037457095459103584, 'Man': 99.96254444122314}, {'Woman': 0.07574917981401086, 'Man': 99.92425441741943}, {'Woman': 0.04901112406514585, 'Man': 99.95099306106567}, {'Woman': 0.536935031414032, 'Man': 99.46305751800537}, {'Woman': 0.15043563907966018, 'Man': 99.84956979751587}, {'Woman': 0.06990152760408819, 'Man': 99.93009567260742}]","['happy', 'happy', 'happy', 'angry', 'happy', 'happy']","['white', 'white', 'middle eastern', 'white', 'white', 'white']","[99.99992843751168, 99.99162625593159, 99.99999995755115, -99.73870749381604, 99.99736527386162, 92.78023950018081]","[99.99992852747657, 99.9916380142901, 99.99999999958075, -0.9045276481774636, 99.99736579492473, 92.78762173297142]","[59.99995708068174, 59.99497812898491, 59.99999998302152, -39.87672351737274, 59.99841926958224, 55.669635060268206]"
Bill Hagerty senator,"[31, 48, 46, 41, 39]","[{'Woman': 0.05717356107197702, 'Man': 99.94282126426697}, {'Woman': 0.2418661257252097, 'Man': 99.75813627243042}, {'Woman': 0.029505498241633177, 'Man': 99.9704897403717}, {'Woman': 0.2686201361939311, 'Man': 99.73137974739075}, {'Woman': 0.0749104015994817, 'Man': 99.92508292198181}]","['neutral', 'happy', 'fear', 'neutral', 'neutral']","['asian', 'white', 'latino hispanic', 'asian', 'latino hispanic']","[-27.524213818833232, 94.41987431846509, -98.59805351174515, 5.038642382714897, 23.362944196403827]","[0.48999791499227285, 94.63104577704163, -0.2927009239473549, 6.038500409631524, 23.594427740514977]","[-10.855091577395797, 56.69458549180159, -39.29916491759299, 3.225176950218156, 14.064530870187983]"
Richard J. Durbin senator,"[35, 45, 39, 40, 39, 40]","[{'Woman': 1.4357030391693115, 'Man': 98.56429696083069}, {'Woman': 0.19855487626045942, 'Man': 99.80144500732422}, {'Woman': 0.45592482201755047, 'Man': 99.54407215118408}, {'Woman': 16.113227605819702, 'Man': 83.88677835464478}, {'Woman': 0.11783924419432878, 'Man': 99.88215565681458}, {'Woman': 0.010637529339874163, 'Man': 99.98936653137207}]","['happy', 'fear', 'happy', 'neutral', 'neutral', 'surprise']","['white', 'asian', 'asian', 'white', 'white', 'white']","[99.99246762429135, -98.99653185211719, 99.23192180691625, 31.557644546046504, 25.64256068726536, 27.418135688640177]","[99.99275729495207, -0.9684620141670166, 99.55083092907377, 31.679533325146622, 28.260329284821637, 59.26840712619014]","[59.99553909390021, -39.594268638957146, 59.6035791694341, 18.959210723405704, 15.914378553279676, 22.88527968339622]"
Jeff Merkley senator,"[26, 42, 31, 44, 32, 35]","[{'Woman': 0.003817978358711116, 'Man': 99.99618530273438}, {'Woman': 0.03300161624792963, 'Man': 99.96700286865234}, {'Woman': 25.43761432170868, 'Man': 74.56238865852356}, {'Woman': 0.010271037899656221, 'Man': 99.98972415924072}, {'Woman': 0.004196089139441028, 'Man': 99.99580383300781}, {'Woman': 0.051155820256099105, 'Man': 99.94884729385376}]","['happy', 'sad', 'fear', 'neutral', 'sad', 'neutral']","['white', 'white', 'black', 'white', 'white', 'white']","[94.25895041545118, -77.98614249040838, -88.14874423856949, -53.64756241324358, -23.224061215296388, -9.337175055406988]","[94.29441064384218, 4.571503992774524, -0.8662489056722967, -0.3439780685584992, 20.630701479967684, 8.609568377025425]","[56.56253393177394, -30.1133730734, -35.256419203162466, -21.42013657023199, -5.074888709932566, -1.9767002994194627]"
Kelly Ayotte senator,"[35, 49, 41, 32, 46, 37]","[{'Woman': 9.19310599565506, 'Man': 90.80688953399658}, {'Woman': 99.35473799705505, 'Man': 0.6452656351029873}, {'Woman': 95.42289972305298, 'Man': 4.577098041772842}, {'Woman': 99.99459981918335, 'Man': 0.005400984809966758}, {'Woman': 98.98459911346436, 'Man': 1.0154061019420624}, {'Woman': 16.356156766414642, 'Man': 83.64384770393372}]","['neutral', 'sad', 'neutral', 'happy', 'angry', 'sad']","['white', 'white', 'white', 'white', 'white', 'white']","[0.4803268282441148, -86.42803165712394, -34.63482920124079, 59.683048909599904, -91.60020327528568, -87.7250712190289]","[0.4829817626017597, -0.7513584720436484, -0.32272109293262474, 59.71767497945369, 0.2621586013644013, -0.7497179929632694]","[0.2887324473217507, -34.54840016900562, -13.849158508965047, 35.81682451138697, -36.40206906079765, -35.064264301909134]"
Steve Daines senator,"[35, 39, 45, 28, 34, 35]","[{'Woman': 0.03877244598697871, 'Man': 99.96122717857361}, {'Woman': 0.08439975208602846, 'Man': 99.91559982299805}, {'Woman': 0.04188443999737501, 'Man': 99.95811581611633}, {'Woman': 12.65183687210083, 'Man': 87.34815716743469}, {'Woman': 0.1506716012954712, 'Man': 99.84933137893677}, {'Woman': 0.18513791728764772, 'Man': 99.81486797332764}]","['happy', 'happy', 'happy', 'neutral', 'happy', 'angry']","['white', 'white', 'latino hispanic', 'white', 'latino hispanic', 'white']","[89.20151470525823, 99.97010827060542, 99.9872026714117, -8.34050819744192, 99.85824356669833, -98.7365168868564]","[89.20172128469639, 99.97010827065527, 99.98720292972021, -0.08300175854024872, 99.85824375021589, -0.3913026633672416]","[53.52095055637477, 59.98206496237332, 59.99232165503055, -3.3361217994951176, 59.914946177093256, -39.37419008696452]"
Heidi Heitkamp senator,"[27, 38, 53, 37, 49, 35]","[{'Woman': 1.274316105991602, 'Man': 98.72568845748901}, {'Woman': 99.77109432220459, 'Man': 0.22889974061399698}, {'Woman': 99.92538094520569, 'Man': 0.07462159846909344}, {'Woman': 97.93084263801575, 'Man': 2.069162391126156}, {'Woman': 99.9998927116394, 'Man': 0.00010273620318912435}, {'Woman': 14.857234060764313, 'Man': 85.14276146888733}]","['angry', 'happy', 'happy', 'happy', 'sad', 'sad']","['middle eastern', 'white', 'latino hispanic', 'latino hispanic', 'white', 'white']","[-98.59442035958637, 99.44395155678194, 99.99999999998192, 99.61411951523259, -86.968316975981, -85.77241616620182]","[-0.35825835925061256, 99.52097359213076, 99.99999999999983, 99.61412043731089, 1.8468705005943775, -0.5444071968943445]","[-39.3109629227547, 59.68193094121034, 59.999999999992774, 59.768471895417996, -34.238528069108725, -34.245670109962006]"
James Lankford senator,"[41, 26, 26, 27, 23, 27, 29]","[{'Woman': 0.12164615327492356, 'Man': 99.8783528804779}, {'Woman': 0.056675629457458854, 'Man': 99.94332194328308}, {'Woman': 0.2729752566665411, 'Man': 99.72701668739319}, {'Woman': 0.3044708399102092, 'Man': 99.69552755355835}, {'Woman': 0.012697036436293274, 'Man': 99.98730421066284}, {'Woman': 0.2792596584185958, 'Man': 99.72073435783386}, {'Woman': 0.011297639139229432, 'Man': 99.98869895935059}]","['sad', 'happy', 'neutral', 'fear', 'happy', 'surprise', 'angry']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[-85.89587657961602, 87.29336530668661, -47.781313231007516, -89.6361692368373, 82.17390911572629, 27.827948544290848, -58.6371429748795]","[-0.8506805903052737, 92.67971961630974, -0.4564640259159205, -0.8739633678778773, 89.05673125910646, 61.992517776903696, 19.88772896796782]","[-34.35667827316138, 53.464171569794416, -19.10821234161631, -35.84994278069644, 50.69481458931055, 23.598702304880135, -19.31867529142319]"
Mark Kelly senator,"[37, 43, 34]","[{'Woman': 0.1510527217760682, 'Man': 99.8489499092102}, {'Woman': 0.20706553477793932, 'Man': 99.7929334640503}, {'Woman': 0.029493460897356272, 'Man': 99.97050166130066}]","['happy', 'fear', 'angry']","['white', 'white', 'white']","[91.87258977617603, -95.46297058993032, -82.32716347556561]","[92.09451362604159, 1.2908489555626224, 0.3928001718595624]","[55.16838696668856, -37.73155618315155, -32.685194318182766]"
"Joe Manchin, III senator","[36, 52, 40, 33, 48, 47]","[{'Woman': 17.767921090126038, 'Man': 82.2320818901062}, {'Woman': 0.13940166682004929, 'Man': 99.8606026172638}, {'Woman': 0.43536159209907055, 'Man': 99.56464171409607}, {'Woman': 0.4791006911545992, 'Man': 99.52090382575989}, {'Woman': 0.1306410296820104, 'Man': 99.86936450004578}, {'Woman': 0.013761210720986128, 'Man': 99.98623132705688}]","['happy', 'angry', 'happy', 'neutral', 'sad', 'angry']","['white', 'white', 'white', 'white', 'white', 'white']","[99.32462004143264, -98.8978491335173, 99.9996662139122, -0.3355271003783855, -82.29013137491357, -86.52664219844155]","[99.53117265928034, -0.9720878860002843, 99.99966621398849, 0.004030001280625584, -0.2687624049969837, -0.12113353121094406]","[59.636499826444975, -39.555727409904925, 59.99979972836274, -0.1327188659524836, -32.804105295672066, -34.460327002452686]"
Michael F. Bennet senator,"[29, 27, 29, 26, 25]","[{'Woman': 0.07259837002493441, 'Man': 99.92740750312805}, {'Woman': 0.07458619656972587, 'Man': 99.92541670799255}, {'Woman': 0.090494763571769, 'Man': 99.909508228302}, {'Woman': 0.005228451482253149, 'Man': 99.99476671218872}, {'Woman': 0.004147620347794145, 'Man': 99.99585151672363}]","['happy', 'happy', 'happy', 'sad', 'happy']","['white', 'white', 'white', 'white', 'white']","[98.46824986311731, 90.38767358296641, 99.46450075834085, -56.2642616367787, 99.81360408662815]","[98.47205020768934, 90.42716759089464, 99.46513004324244, -0.5327410327767508, 99.81364251812903]","[59.08171766424857, 54.24058273724009, 59.678827583267456, -22.499663930753698, 59.88817021591646]"
Roger F. Wicker senator,"[37, 48, 49, 54, 35]","[{'Woman': 0.0362851977115497, 'Man': 99.96371269226074}, {'Woman': 0.0692821282427758, 'Man': 99.93071556091309}, {'Woman': 0.034721585689112544, 'Man': 99.96527433395386}, {'Woman': 0.14505222206935287, 'Man': 99.85494017601013}, {'Woman': 0.22025085054337978, 'Man': 99.77974891662598}]","['neutral', 'happy', 'happy', 'sad', 'happy']","['middle eastern', 'white', 'white', 'white', 'white']","[3.588532656431198, 32.7019382449673, 96.63189132632276, -99.83485592790282, 99.991716179164]","[28.252661868929863, 65.98838100546577, 96.63189133091149, -0.9214008937985264, 99.99171784652826]","[7.135771960020065, 26.345696837990168, 57.97913479672067, -39.91839738823578, 59.995030044339664]"
Ted Cruz senator,"[30, 30, 24, 45, 36, 29]","[{'Woman': 0.024485302856191993, 'Man': 99.97552037239075}, {'Woman': 0.42211287654936314, 'Man': 99.57789182662964}, {'Woman': 0.02274370490340516, 'Man': 99.97726082801819}, {'Woman': 0.005204300759942271, 'Man': 99.99479055404663}, {'Woman': 0.30564083717763424, 'Man': 99.69435334205627}, {'Woman': 0.02390311856288463, 'Man': 99.97609257698059}]","['happy', 'happy', 'fear', 'neutral', 'angry', 'sad']","['white', 'white', 'white', 'white', 'white', 'white']","[99.06502376901695, 79.92452196516159, -91.78585359026748, -44.95218835072592, -84.2464160706763, -88.8971662032418]","[99.06509652005623, 86.13877083881971, 0.6683311224483104, -0.3008592282421887, -0.8313810686847517, -0.807426746468991]","[59.439028958589816, 49.21011699195718, -36.39389908088457, -17.95084248064086, -33.69632741978123, -35.542392760980874]"
Cynthia M. Lummis senator,"[32, 35, 39, 36, 44]","[{'Woman': 99.99955892562866, 'Man': 0.00043657310015987605}, {'Woman': 88.93749117851257, 'Man': 11.062510311603546}, {'Woman': 94.28951144218445, 'Man': 5.7104866951704025}, {'Woman': 99.95075464248657, 'Man': 0.049246440175920725}, {'Woman': 81.32349252700806, 'Man': 18.676503002643585}]","['happy', 'happy', 'happy', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white']","[99.50179653141065, 99.13837157349981, 99.99411214267886, 97.55983815312561, 99.83299281429936]","[99.50180032462586, 99.13875134881897, 99.99412295265186, 97.56440178596773, 99.91094592305126]","[59.70107868515249, 59.48309966638658, 59.99646946944024, 58.53682483790408, 59.91554379135778]"
John Thune senator,"[33, 35, 34, 33, 32]","[{'Woman': 0.05836138152517378, 'Man': 99.94163513183594}, {'Woman': 0.02988999185618013, 'Man': 99.97010827064514}, {'Woman': 0.01290101936319843, 'Man': 99.9871015548706}, {'Woman': 0.009768149902811274, 'Man': 99.99023675918579}, {'Woman': 0.005439503365778364, 'Man': 99.99456405639648}]","['sad', 'surprise', 'happy', 'sad', 'happy']","['white', 'white', 'white', 'white', 'white']","[-99.5892909339361, 33.66769074046573, 99.99707166451115, -74.5843717464244, 99.22339928099241]","[-0.7935068076673968, 65.87984620070056, 99.997071693266, -0.6056149269075648, 99.22339940887541]","[-39.794830292428585, 26.708120597862234, 59.99824300451575, -29.80541964997245, 59.534039594430396]"
